Date,peakMax,Mean,peakMin
2020-09-05 00:00:20,6.4,4.65,1.4
2020-09-05 00:10:42,6.98,3.32,2.53
2020-09-05 00:32:14,6.01,3.49,1.13
2020-09-05 00:32:19,5.69,4.83,1.64
2020-09-05 00:38:27,6.54,3.08,1.49
2020-09-05 00:44:00,6.36,4.28,1.82
2020-09-05 00:46:02,5.58,3.74,1.76
2020-09-05 00:47:34,6.43,3.17,1.17
2020-09-05 00:59:16,6.67,3.27,1.1
2020-09-05 00:59:35,5.62,3.25,1.58
2020-09-05 01:06:30,6.18,3.12,1.44
2020-09-05 01:09:09,5.56,4.09,1.74
2020-09-05 01:13:50,6.31,4.49,2.35
2020-09-05 01:19:40,6.03,4.63,1.32
2020-09-05 01:20:13,5.99,4.55,1.6
2020-09-05 01:22:11,5.86,4.24,1.12
2020-09-05 01:26:34,6.93,4.45,1.0
2020-09-05 01:35:15,6.93,4.54,2.08
2020-09-05 01:40:06,5.55,3.42,2.25
2020-09-05 01:55:31,5.27,4.07,2.98
2020-09-05 02:09:55,5.23,3.39,1.52
2020-09-05 02:29:13,5.67,4.78,1.2
2020-09-05 02:31:29,6.01,3.62,1.52
2020-09-05 02:34:59,6.15,4.54,2.92
2020-09-05 02:38:10,6.56,4.92,2.33
2020-09-05 02:39:52,6.56,3.66,2.29
2020-09-05 02:44:03,6.65,3.06,2.0
2020-09-05 02:53:33,6.24,4.26,1.59
2020-09-05 03:08:33,5.02,3.21,1.14
2020-09-05 03:16:36,6.81,4.58,2.63
2020-09-05 03:23:09,5.16,3.85,1.4
2020-09-05 03:26:04,6.23,3.87,1.39
2020-09-05 03:27:18,6.97,3.4,2.17
2020-09-05 03:30:06,6.56,3.63,1.74
2020-09-05 03:31:48,6.31,4.97,2.05
2020-09-05 03:39:59,5.4,4.61,1.34
2020-09-05 03:44:36,6.51,4.81,2.88
2020-09-05 03:45:31,6.53,4.14,2.56
2020-09-05 03:49:55,5.82,3.05,2.76
2020-09-05 03:54:46,6.11,3.1,2.15
2020-09-05 03:57:37,6.91,3.39,2.79
2020-09-05 04:00:49,6.07,3.89,1.87
2020-09-05 04:01:51,6.54,3.45,2.26
2020-09-05 04:08:35,5.3,4.76,2.95
2020-09-05 04:16:32,6.58,3.79,1.75
2020-09-05 04:29:58,6.8,4.28,2.16
2020-09-05 04:30:09,6.16,3.79,1.59
2020-09-05 04:32:41,6.96,3.2,1.93
2020-09-05 04:33:04,5.79,3.63,2.41
2020-09-05 04:50:17,5.61,3.42,1.65
2020-09-05 04:53:54,5.45,4.92,2.0
2020-09-05 04:56:53,6.02,4.89,1.41
2020-09-05 05:02:30,5.91,4.68,2.01
2020-09-05 05:04:47,6.34,3.25,1.61
2020-09-05 05:07:00,6.76,3.98,1.55
2020-09-05 05:11:09,5.19,4.69,1.16
2020-09-05 05:22:42,6.48,4.03,2.14
2020-09-05 05:34:02,6.32,3.91,1.83
2020-09-05 05:35:35,5.68,4.15,1.7
2020-09-05 05:37:28,5.04,4.7,2.36
2020-09-05 05:39:20,5.39,3.65,2.85
2020-09-05 05:56:48,5.47,3.06,2.95
2020-09-05 05:57:20,5.42,3.44,1.05
2020-09-05 05:58:30,6.68,4.58,1.72
2020-09-05 05:58:44,5.37,4.52,1.24
2020-09-05 06:18:53,5.89,3.63,1.38
2020-09-05 06:21:01,6.37,3.49,1.02
2020-09-05 06:26:07,6.24,4.56,1.71
2020-09-05 06:28:47,6.39,4.35,1.23
2020-09-05 06:36:38,6.04,3.6,1.5
2020-09-05 06:45:43,5.37,3.6,2.12
2020-09-05 06:49:24,6.74,3.29,2.53
2020-09-05 06:51:23,6.77,3.69,1.57
2020-09-05 06:57:17,6.95,3.56,2.19
2020-09-05 07:02:21,6.73,3.97,2.62
2020-09-05 07:03:53,6.13,3.44,1.64
2020-09-05 07:05:43,5.46,3.87,2.23
2020-09-05 07:09:42,6.52,4.42,1.01
